same_movie,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
2.4424906541753444e-15,0.5386307252934888,0.6411297187173634,0.6709914000692248,0.6909994960780277,0.6913640035674367,0.7518777691527998,0.7616821165591513,0.7733930500283904,0.7803257755139623,0.7823494316570412
1.1102230246251565e-16,0.6390243902439025,0.7029666023094234,0.7400137976492017,0.7745682595727127,0.8185424863272599,0.822149749947062,0.8258654679071735,0.836649628844883,0.8368656440959394,0.8370762832510581
0.0,0.7419032572971871,0.7540825182580211,0.7555393146736201,0.7685489072408936,0.7714003453537764,0.7733871352930726,0.7766661787202543,0.7768036326831833,0.7815843854780816,0.7836798488696711
0.0,0.7643778133606074,0.7715581309955426,0.794822219229155,0.795035395752636,0.8060385637358273,0.8197580938424531,0.8262406111283845,0.8322603239553584,0.833099421721833,0.8353848524579492
0.0,0.5034047971267919,0.5136857835225602,0.5171720221086932,0.5361784451491705,0.542989444732206,0.5454194930611502,0.5478194081971761,0.5511317279200131,0.556476028387597,0.5597902921175414
0.0,0.8175178280926424,0.820172904491465,0.8220228318598578,0.82571650057582,0.8279530176703184,0.8309012617991338,0.832272011921278,0.8360440316354133,0.8393030113106222,0.8393897367839179
0.0,0.7198104187434298,0.72149553739762,0.7266028665579822,0.7403192494738136,0.7406941002161058,0.7463074844691402,0.7470661203559963,0.7483757403682559,0.7514764431373105,0.7524976272489365
0.0,0.7012893118516285,0.7021134017370638,0.7043426607929038,0.7066210284498986,0.7095009401319269,0.7128062143004097,0.7143772491637637,0.7179425079610471,0.7180386478266927,0.7182091773273447
0.0,0.7598325127776111,0.7786556491146803,0.7813711839716457,0.7902059260144736,0.7906925720708498,0.8025092331851695,0.8045696582398403,0.8049069289509005,0.805523676580091,0.8096099570605276
1.4432899320127035e-15,0.8461765707049905,0.8572375968420403,0.8620786899273591,0.8659551273606481,0.8661167622096603,0.866313794307284,0.8674141775297333,0.8682596539503449,0.868757533583514,0.8699687878858284
0.0,0.8751561096574607,0.878999064658346,0.8945901222653045,0.9003430541842914,0.9051447980341875,0.9079620125373197,0.9092469017546831,0.9099542423435315,0.9103080853616734,0.912070202496991
4.440892098500626e-15,0.502747728112957,0.5299821603201118,0.5341106196859016,0.5569151594714457,0.5623719257216956,0.5840893984149045,0.5993966620762923,0.599688387214329,0.6002670207164383,0.6098016611951553
0.0,0.8701080252032253,0.8956330743990563,0.9123779886802166,0.9151328095770268,0.9154290706244279,0.9154539809139727,0.9185793466669563,0.9190258336246848,0.9194189144236102,0.9203904688183083
0.0,0.7127410676692596,0.7411283772712247,0.7502133527331576,0.7680504084403792,0.8042190226558246,0.8124874415936156,0.8317597808663488,0.8355145171308023,0.8369707617910402,0.8382473844825417
8.881784197001252e-16,0.7355977345754685,0.7522896621946353,0.7530106362668614,0.7718969639830557,0.779864774800819,0.7942787110161218,0.8010441707764175,0.8015741538537822,0.8025926864692454,0.8099328535740924
2.4980018054066022e-14,0.6597809508369652,0.6708064108848397,0.6725644310020469,0.6760507138016492,0.6828175742341491,0.6849404806221647,0.6856898342227915,0.6872509564972584,0.6877586203649868,0.6906670640181589
0.0,0.6193042499557543,0.6279955183686745,0.6741478223741816,0.6744809247611825,0.6770934928869828,0.6808847564478948,0.6931976747748021,0.694390998306258,0.6997005941104466,0.7034347596806387
7.904787935331115e-14,0.5683948618210766,0.5831754961423106,0.5887838239738381,0.6121611470109827,0.6171082102010595,0.6268181662514573,0.6305305463843736,0.6347205832031733,0.6365135295835262,0.6381344276791027
1.3322676295501878e-15,0.8032285893922309,0.8305470549669968,0.8324087064714882,0.8483658878339755,0.8490434666815107,0.8522221501631703,0.8577803491032804,0.859965836497158,0.8640848877392338,0.8671981228918109
1.1102230246251565e-16,0.3987429955049214,0.4303491132438769,0.437985999675227,0.4473257030587805,0.46230358109677383,0.46362755658259003,0.4788147369502119,0.4804414372471768,0.48296974866322406,0.48847788069324716
0.0,0.814920426063614,0.8566608417210625,0.8622894479173153,0.8675414844323848,0.8831950116216265,0.8843843843843844,0.889114269596861,0.8913717716587723,0.8919222574000348,0.8926231829897561
6.661338147750939e-16,0.8818375108051004,0.8828604293738279,0.885590326369874,0.8862122220877662,0.8864343654457969,0.889325685781428,0.8924349130345525,0.892711643842836,0.8945555798392743,0.8949548537122219
0.0,0.4198832644593543,0.44799703505002253,0.47956508163802647,0.6129563913424643,0.6186766616764303,0.6254366362821466,0.630518781570793,0.6543671363213639,0.6691782653131846,0.6755991678300843
0.0,0.6160815562379385,0.6446639899044238,0.6503693289262431,0.6537254021630199,0.6677822668109626,0.6705645261420574,0.6811660176728782,0.6840085876844475,0.6845349232598777,0.6865754273681548
3.9968028886505635e-15,0.2749879931359265,0.2846793344730786,0.28668046106516143,0.29716823715410046,0.29856393230758405,0.3049469173432672,0.31265867001050385,0.31600455057571486,0.3163275821797754,0.31641935076988403
2.8310687127941492e-14,0.6585310532977473,0.6703148357377777,0.6762054343874865,0.6845825856573569,0.6868272565189761,0.6877399514819891,0.6903700630386124,0.6914250004462242,0.696331393563032,0.6975479660560346
0.0,0.5010323912695526,0.5120315656633551,0.5264369270508791,0.5274084797908865,0.5474031335271041,0.5607424429384875,0.5699463641664717,0.5909965857748023,0.6054727468481317,0.6070254843788496
0.0,0.3449956427213263,0.35604282711890956,0.36537132963251007,0.37055989830385827,0.37383658532748676,0.3841024429935329,0.3869303199662216,0.39868049349691803,0.40124905414449374,0.40652818828679016
